platform,pub_year,cve_count
apache_httpd,2020,6
apache_httpd,2021,22
apache_httpd,2022,12
apache_httpd,2023,8
apache_httpd,2024,14
apache_httpd,2025,15
apache_httpd,2026,24
debian,2020,1058
debian,2021,656
debian,2024,71
debian,2025,674
debian,2026,25
iis,2020,4
iis,2022,3
iis,2023,1
iis,2025,1
nginx,2020,1
nginx,2021,2
nginx,2022,3
nginx,2023,1
nginx,2025,1
rhel,2020,121
rhel,2021,145
rhel,2022,195
rhel,2023,230
rhel,2024,101
rhel,2025,60
rhel,2026,210
ubuntu,2020,570
ubuntu,2021,27
ubuntu,2022,37
ubuntu,2023,27
ubuntu,2024,35
ubuntu,2025,8
ubuntu,2026,18
windows_server,2020,883
windows_server,2021,517
windows_server,2022,574
windows_server,2023,610
windows_server,2024,640
windows_server,2025,731
windows_server,2026,912
