platform,rank,cwe_id,count
apache_httpd,1,CWE-476,14
apache_httpd,2,CWE-444,12
apache_httpd,3,CWE-787,9
apache_httpd,4,CWE-125,9
apache_httpd,5,CWE-190,8
apache_httpd,6,CWE-918,7
apache_httpd,7,CWE-770,6
apache_httpd,8,CWE-122,5
apache_httpd,9,NVD-CWE-Other,5
apache_httpd,10,CWE-601,4
debian,1,NVD-CWE-noinfo,338
debian,2,CWE-787,303
debian,3,CWE-416,264
debian,4,CWE-125,224
debian,5,CWE-476,198
debian,6,CWE-190,123
debian,7,CWE-502,80
debian,8,CWE-79,74
debian,9,CWE-20,72
debian,10,CWE-362,66
iis,1,NVD-CWE-noinfo,7
iis,2,CWE-434,1
iis,3,CWE-307,1
iis,4,CWE-125,1
nginx,1,CWE-787,4
nginx,2,CWE-193,2
nginx,3,CWE-190,2
nginx,4,CWE-295,2
nginx,5,CWE-863,2
nginx,6,CWE-444,1
nginx,7,CWE-120,1
nginx,8,NVD-CWE-noinfo,1
nginx,9,CWE-400,1
rhel,1,CWE-416,165
rhel,2,CWE-787,155
rhel,3,CWE-125,139
rhel,4,CWE-476,112
rhel,5,CWE-190,67
rhel,6,NVD-CWE-noinfo,62
rhel,7,CWE-400,47
rhel,8,CWE-362,44
rhel,9,CWE-119,39
rhel,10,CWE-79,38
ubuntu,1,NVD-CWE-noinfo,121
ubuntu,2,CWE-787,97
ubuntu,3,CWE-125,91
ubuntu,4,CWE-416,61
ubuntu,5,CWE-476,45
ubuntu,6,CWE-190,35
ubuntu,7,CWE-59,30
ubuntu,8,CWE-362,28
ubuntu,9,CWE-20,26
ubuntu,10,CWE-120,22
windows_server,1,NVD-CWE-noinfo,2783
windows_server,2,CWE-416,519
windows_server,3,CWE-122,491
windows_server,4,CWE-362,316
windows_server,5,CWE-125,297
windows_server,6,CWE-20,174
windows_server,7,CWE-787,164
windows_server,8,CWE-190,162
windows_server,9,CWE-269,158
windows_server,10,CWE-59,98
