platform_a,platform_b,jaccard_index,diversity_score,shared_cwe_count,cwe_a_only,cwe_b_only
apache_httpd,nginx,0.10714285714285714,0.8928571428571429,6,47,3
apache_httpd,iis,0.03636363636363636,0.9636363636363636,2,51,2
apache_httpd,ubuntu,0.2517985611510791,0.7482014388489209,35,18,86
apache_httpd,rhel,0.22058823529411764,0.7794117647058824,45,8,151
apache_httpd,debian,0.20081967213114754,0.7991803278688525,49,4,191
apache_httpd,windows_server,0.2275449101796407,0.7724550898203593,38,15,114
nginx,iis,0.08333333333333333,0.9166666666666666,1,8,3
nginx,ubuntu,0.0743801652892562,0.9256198347107438,9,0,112
nginx,rhel,0.04591836734693878,0.9540816326530612,9,0,187
nginx,debian,0.0375,0.9625,9,0,231
nginx,windows_server,0.045454545454545456,0.9545454545454546,7,2,145
iis,ubuntu,0.02459016393442623,0.9754098360655737,3,1,118
iis,rhel,0.015228426395939087,0.9847715736040609,3,1,193
iis,debian,0.016666666666666666,0.9833333333333333,4,0,236
iis,windows_server,0.0196078431372549,0.9803921568627451,3,1,149
ubuntu,rhel,0.4541284403669725,0.5458715596330275,99,22,97
ubuntu,debian,0.444,0.556,111,10,129
ubuntu,windows_server,0.41450777202072536,0.5854922279792747,80,41,72
rhel,debian,0.5244755244755245,0.4755244755244755,150,46,90
rhel,windows_server,0.44398340248962653,0.5560165975103735,107,89,45
debian,windows_server,0.4151624548736462,0.5848375451263538,115,125,37
